screen_name,id,protected,followers,follow_count
RobAckland,393352440,False,575,380
Willlum,29411815,False,1096,2639
RachelKornfield,637291291,False,357,809
novi882,97640637,True,20,27
CMCSatBU,885944485615738881,False,1971,4290
Melephant191,932531244776112128,False,3,43
jf_accountable,927760776277917697,False,0,1
BasHofstra,35031140,False,1677,1529
Thunder_Pegasus,920382519740116992,False,14,150
staeiou,14191640,False,3432,1025
JoyFLIPS,775943411064987648,False,1335,2803
j_g_easterday,380015041,False,64,255
gleemie,2493,False,10941,5770
DanielTrielli,1009383307,False,1069,2796
alicef_gentoo,6175132,False,1073,1633
dougbayless,35004775,False,138,316
KetakiSodhi,295153153,False,294,418
stat110,184543773,False,15844,4498
matteasterday,60429318,False,312,338
masssly,136761537,False,735,1737
dhillon_p,167693954,False,771,289
_pmkr,863612539,False,2162,2196
abhishekn,14941540,False,6358,4509
sara_milkes,874888295888637953,False,16,68
bgsmithphd,27256915,False,484,448
ggviscusi,140953186,False,680,3279
madsesmith,40905714,True,563,494
healspersecond,3403638472,False,178,360
altsalt,79402857,False,374,530
gpanger,13126022,False,1415,1407
nu_hci,1087921860,False,306,147
DanielReesLewis,336788031,False,208,467
bdosono,414056697,False,880,876
klakhani,11086372,False,11689,3081
katherinemsd,4843948528,False,465,392
airi_,46854762,False,1948,1777
cdphelanges,18784660,False,70,181
WikiResearch,450842550,False,15301,1516
wichinpong,382003874,False,311,815
jaketangosierra,1711971121,False,542,511
milara,17587656,False,314,204
Gerardo45420577,857933309485105152,False,0,87
aschrock,14860076,False,9265,5599
wwwehde,628158652,False,1338,2195
gperez0711,2650433961,False,2,48
scholaverse,850766935168045059,False,49,550
SawonPratiher,2594401704,False,112,914
cicon17,794587016163983362,False,257,376
JulioTellez,75118960,False,1514,4987
ryanjgallag,2584784815,False,3705,1207
__laurenbrooke,233076328,False,366,597
nettrom,23195240,False,749,1248
amyxzh,330151669,False,6164,1228
kevinbaker,14095344,False,10910,2187
icwsm,103989154,False,4596,870
AshleyW64666720,833210184474374147,False,4,79
Shugars,21719973,False,3253,1036
justin_cranshaw,143449579,False,2023,1043
VOSONsoftware,4880792912,False,130,432
analytictactoe,826367509104304128,False,65,486
makoshark,7106252,False,2954,724
NU_InfoSocial,776525851,False,128,200
In_House_Tech,700893087648899072,False,2759,3483
foucaultwelles,833373624,False,5507,1238
zhugrid,1172148360,False,1142,901
mike_pomazal,717011393338191873,False,4,12
sayamindu,17861792,False,2270,2813
sociallycompute,2756479056,False,686,1846
joemeservy,805836846852734976,False,95,632
jacobgroshek,47881149,False,9497,9509
willmarler,803654155088826375,False,348,585
lista_redes,2261831748,False,1657,3053
CindyOtis_,800713486229614597,False,35589,961
NICOatNU,1954278132,False,1754,388
russellfunk,244283811,False,170,227
lunartiko,2422107782,False,56,840
SaundraBissell,789327175115608064,False,4,28
yasssjasss,788359680846213121,False,229,686
networkrepo,2460428592,False,503,1629
jananamirah,26865388,False,7598,1173
barbourjosh,5642792,False,683,951
epimika,2298571994,False,235,239
MktShareConsult,4784828498,False,971,1858
shsannon,1358726731,False,1275,1287
melaphant19,779099437012439040,False,3,22
ica_cm,742789639933702144,False,1267,581
JFKlosterman,320461077,True,25,92
renwenzhang,2692945104,False,374,614
nsharp713,774582772736200705,False,2,78
KevinMao5,1319393941,False,6,62
satyaki30,123834795,False,347,983
jasonjones_jjj,94850603,False,524,235
BerkCDeniz,2376042122,False,611,485
socarxiv,726552444625408000,False,10589,3099
peterdodds,16174144,False,4546,4292
davidlazer,37213193,False,12286,3441
gracebene,566812856,False,90,97
nickmason_ut,1535699790,False,136,313
IUNetSci,2375509748,False,2064,1590
joshua_a_becker,62621489,False,1115,395
dgzara,16597102,False,2247,2333
SherieBrown3,3886453934,False,0,99
UAntwerpen_Comm,4060989377,False,817,635
rich9112,41840632,False,9,45
oliverhaimson,352510636,False,2604,2051
kerstinsailer,162684694,False,3280,2111
rpclair,1477670742,False,171,178
johnjhorton,137793138,False,7680,1239
TheCosmicRey,224943686,False,2326,2561
DrWoody,22416088,False,8855,5044
DominosEvanston,4253597420,False,105,1164
natematias,52332354,False,12857,5347
cryptic,7170502,False,536,764
katerinabohlec,2220997760,False,2040,4662
TechSoc_Journal,4561591534,False,16,186
groceryheist,15942325,False,378,787
FamilyCommLab,4447640659,False,153,201
inclusivetechNU,4260057441,False,258,74
TheDigitalLoft,3066010653,False,55,202
faryad_ds,212431150,False,267,388
stateofselfie,2431462603,False,98,2104
robin_dicker,527147180,False,783,4745
danielkentwood,544477575,False,297,1267
williamschirodc,4127851934,False,2,16
rongwangsna,70371720,False,469,791
gil_pulgar,3577056016,False,1371,4259
ktanaka086,1419910621,False,209,151
noshir,15160540,False,5450,2084
Toast2ourVanity,2709618013,False,74,324
PaytonMargo,3898830982,False,5,23
DrMichaelAnn,490668639,False,1105,1193
MarlonTwyman2,2336152236,False,164,159
RavonokulaZ,3732132435,False,3,42
wbbkmz,3506304140,False,53,96
Vanessa_becker,68241500,True,9,277
jd_daw,2429911829,False,1427,989
stonegeoffrey,1319086105,True,262,1565
matt_hebdon,3432283936,False,59,43
BrianSouthwell,779391072,True,2872,2866
teppofelin,165270515,False,13874,12299
jarvelam,171418783,False,349,480
wordpresstrans,3278946361,False,31,59
scott_draves,731033,False,3008,980
MobiSocCU,582772973,False,113,353
RubeHeretic,3145375974,False,217,3488
nickcbarry,3317451293,False,30,657
socdatalab,607311335,False,2846,2406
_kenny_joseph,227062815,False,844,777
MoritzBuchi,45162945,False,1334,3065
yongsung7,1645779746,False,133,133
vtraag,293983295,False,1930,945
