text,timestamp,favorite_count,followers,friends_count
My blanket hello to everyone! #BCSM https://t.co/GckvAh31en,Tue Apr 07 01:22:28 +0000 2020,8,1619,1141
"@amethystpen7 Take care, little one!  I need you to be around a long time...expecting great things from you! https://t.co/6PkAp7IcVJ",Tue Apr 07 01:22:15 +0000 2020,0,2146,651
"Hearing my baby fart is kinda cute. Smelling them tho, NOT SO CUTE",Tue Apr 07 01:22:08 +0000 2020,1,52,80
@Nick_Roberttss Literally asking Dems to kill themselves to vote- despicable,Tue Apr 07 01:22:06 +0000 2020,0,1236,819
"Breaking ""Cyclone Harold Slams Into Vanuatu 27 Dead Solomons https://t.co/2s0aKeFbBE via @YouTube",Tue Apr 07 01:22:05 +0000 2020,1,11694,19
"RT @MrKline_EdTech: @MaryBourassa I love @SteveWyborney’s “Splat Math”! It’s a great visual way to show solving equations. Even better, hav…",Tue Apr 07 01:22:04 +0000 2020,0,47,78
RT @blacksheep_pu: not very cash money of him 🤨,Tue Apr 07 01:21:58 +0000 2020,0,137,1564
@rockormiston2 Look at dad and his baby rig. https://t.co/YBUqcl5SN8,Tue Apr 07 01:21:37 +0000 2020,1,508,331
haven't rotated my wheels in 2 years lmao,Tue Apr 07 01:21:36 +0000 2020,0,202,263
it's been a while https://t.co/jHFVYlev5J,Tue Apr 07 01:21:36 +0000 2020,2,202,263
i haven’t felt this fucking low in years. i feel like my life is falling apart i want to scream,Tue Apr 07 01:21:35 +0000 2020,0,439,975
"@RespectableLaw For the second election in a row, Bernie will not be the nominee because he cannot bring together a… https://t.co/8paA3SeKv3",Tue Apr 07 01:21:10 +0000 2020,0,935,1910
@sboehm09 Ankney is actually where me and my wife are looking to buy a house ...(again). 😅 so we will definitely st… https://t.co/q9SorR3bUz,Tue Apr 07 01:21:04 +0000 2020,0,1053,1038
"A positive thing is happening during the statewide coronavirus restrictions: crime is going down. 

There are fewer… https://t.co/RLwB2d7YQA",Tue Apr 07 01:20:40 +0000 2020,2,32303,431
Just sat out on the porch and watched the neighborhood bats for the last hour.  It is a beautiful night.,Tue Apr 07 01:20:24 +0000 2020,1,646,282
@AlexisMorganSmi I think you can vouch I do this https://t.co/MTyolR7kkU,Tue Apr 07 01:20:23 +0000 2020,1,238,110
@ryanjengchen @CurranKara 🤪,Tue Apr 07 01:20:09 +0000 2020,0,225,87
